key,number,id,node_id,item_id,linked,fields
EP-RULES,1,5596414701,I_kwDOUtOUvM8AAAABTZKC7Q,PVTI_lAHOB1U_Zc4Bkx-8zg88b1k,,1
FT-RULES-1,2,5596415117,I_kwDOUtOUvM8AAAABTZKEjQ,PVTI_lAHOB1U_Zc4Bkx-8zg88b2w,1,1
MEM-1,3,5596415590,I_kwDOUtOUvM8AAAABTZKGZg,PVTI_lAHOB1U_Zc4Bkx-8zg88b34,1,1
FT-RULES-2,4,5596416122,I_kwDOUtOUvM8AAAABTZKIeg,PVTI_lAHOB1U_Zc4Bkx-8zg88b5c,1,1
DFLT-1,5,5596416662,I_kwDOUtOUvM8AAAABTZKKlg,PVTI_lAHOB1U_Zc4Bkx-8zg88b7Q,1,1
EP-CAP,6,5596417151,I_kwDOUtOUvM8AAAABTZKMfw,PVTI_lAHOB1U_Zc4Bkx-8zg88b8Y,,1
FT-CAP-1,7,5596417712,I_kwDOUtOUvM8AAAABTZKOsA,PVTI_lAHOB1U_Zc4Bkx-8zg88b9M,1,1
CAP-1,8,5596418248,I_kwDOUtOUvM8AAAABTZKQyA,PVTI_lAHOB1U_Zc4Bkx-8zg88b_A,1,1
CAP-7,9,5596418724,I_kwDOUtOUvM8AAAABTZKSpA,PVTI_lAHOB1U_Zc4Bkx-8zg88cAk,1,1
FT-CAP-2,10,5596419163,I_kwDOUtOUvM8AAAABTZKUWw,PVTI_lAHOB1U_Zc4Bkx-8zg88cBg,1,1
CAP-2,11,5596419786,I_kwDOUtOUvM8AAAABTZKWyg,PVTI_lAHOB1U_Zc4Bkx-8zg88cDA,1,1
FT-CAP-3,12,5596420251,I_kwDOUtOUvM8AAAABTZKYmw,PVTI_lAHOB1U_Zc4Bkx-8zg88cEI,1,1
CAP-3,13,5596420867,I_kwDOUtOUvM8AAAABTZKbAw,PVTI_lAHOB1U_Zc4Bkx-8zg88cFA,1,1
FT-CAP-4,14,5596421411,I_kwDOUtOUvM8AAAABTZKdIw,PVTI_lAHOB1U_Zc4Bkx-8zg88cGc,1,1
CAP-4,15,5596421865,I_kwDOUtOUvM8AAAABTZKe6Q,PVTI_lAHOB1U_Zc4Bkx-8zg88cHM,1,1
CAP-5,16,5596422304,I_kwDOUtOUvM8AAAABTZKgoA,PVTI_lAHOB1U_Zc4Bkx-8zg88cIg,1,1
CAP-6,17,5596422728,I_kwDOUtOUvM8AAAABTZKiSA,PVTI_lAHOB1U_Zc4Bkx-8zg88cKI,1,1
FT-CAP-5,18,5596423228,I_kwDOUtOUvM8AAAABTZKkPA,PVTI_lAHOB1U_Zc4Bkx-8zg88cLI,1,1
CAP-8,19,5596423694,I_kwDOUtOUvM8AAAABTZKmDg,PVTI_lAHOB1U_Zc4Bkx-8zg88cMw,1,1
CAP-9,20,5596424150,I_kwDOUtOUvM8AAAABTZKn1g,PVTI_lAHOB1U_Zc4Bkx-8zg88cOQ,1,1
FT-CAP-6,21,5596424707,I_kwDOUtOUvM8AAAABTZKqAw,PVTI_lAHOB1U_Zc4Bkx-8zg88cPw,1,1
CAP-10,22,5596425142,I_kwDOUtOUvM8AAAABTZKrtg,PVTI_lAHOB1U_Zc4Bkx-8zg88cRE,1,1
EP-CONF,23,5596428106,I_kwDOUtOUvM8AAAABTZK3Sg,PVTI_lAHOB1U_Zc4Bkx-8zg88cYU,,1
FT-CONF-1,24,5596428694,I_kwDOUtOUvM8AAAABTZK5lg,PVTI_lAHOB1U_Zc4Bkx-8zg88caA,1,1
CONF-1,25,5596429160,I_kwDOUtOUvM8AAAABTZK7aA,PVTI_lAHOB1U_Zc4Bkx-8zg88cbI,1,1
CONF-12,26,5596429768,I_kwDOUtOUvM8AAAABTZK9yA,PVTI_lAHOB1U_Zc4Bkx-8zg88cco,1,1
CONF-13,27,5596430325,I_kwDOUtOUvM8AAAABTZK_9Q,PVTI_lAHOB1U_Zc4Bkx-8zg88cew,1,1
CONF-14,28,5596433150,I_kwDOUtOUvM8AAAABTZLK_g,PVTI_lAHOB1U_Zc4Bkx-8zg88ck4,1,1
CONF-15,29,5596433959,I_kwDOUtOUvM8AAAABTZLOJw,PVTI_lAHOB1U_Zc4Bkx-8zg88cmw,1,1
